Date,Value
1/1/1915,19.25
2/1/1915,19.25
3/1/1915,19.25
4/1/1915,19.25
5/1/1915,19.25
6/1/1915,19.25
7/1/1915,19.25
8/1/1915,19.25
9/1/1915,19.25
10/1/1915,19.25
11/1/1915,19.25
12/1/1915,19.25
1/1/1916,19.47
2/1/1916,19.47
3/1/1916,19.47
4/1/1916,19.47
5/1/1916,19.47
6/1/1916,19.47
7/1/1916,19.47
8/1/1916,19.47
9/1/1916,19.47
10/1/1916,19.47
11/1/1916,19.47
12/1/1916,19.47
1/1/1917,19.66
2/1/1917,19.66
3/1/1917,19.66
4/1/1917,19.66
5/1/1917,19.66
6/1/1917,19.66
7/1/1917,19.66
8/1/1917,19.66
9/1/1917,19.66
10/1/1917,19.66
11/1/1917,19.66
12/1/1917,19.66
1/1/1918,19.84
2/1/1918,19.84
3/1/1918,19.84
4/1/1918,19.84
5/1/1918,19.84
6/1/1918,19.84
7/1/1918,19.84
8/1/1918,19.84
9/1/1918,19.84
10/1/1918,19.84
11/1/1918,19.84
12/1/1918,19.84
1/1/1919,20.03
2/1/1919,20.03
3/1/1919,20.03
4/1/1919,20.03
5/1/1919,20.03
6/1/1919,20.03
7/1/1919,20.03
8/1/1919,20.03
9/1/1919,20.03
10/1/1919,20.03
11/1/1919,20.03
12/1/1919,20.03
1/1/1920,20.63
2/1/1920,20.63
3/1/1920,20.63
4/1/1920,20.63
5/1/1920,20.63
6/1/1920,20.63
7/1/1920,20.63
8/1/1920,20.63
9/1/1920,20.63
10/1/1920,20.63
11/1/1920,20.63
12/1/1920,20.63
1/1/1921,20.69
2/1/1921,20.69
3/1/1921,20.69
4/1/1921,20.69
5/1/1921,20.69
6/1/1921,20.69
7/1/1921,20.69
8/1/1921,20.69
9/1/1921,20.69
10/1/1921,20.69
11/1/1921,20.69
12/1/1921,20.69
1/1/1922,20.84
2/1/1922,20.84
3/1/1922,20.84
4/1/1922,20.84
5/1/1922,20.84
6/1/1922,20.84
7/1/1922,20.84
8/1/1922,20.84
9/1/1922,20.84
10/1/1922,20.84
11/1/1922,20.84
12/1/1922,20.84
1/1/1923,20.75
2/1/1923,20.75
3/1/1923,20.75
4/1/1923,20.75
5/1/1923,20.75
6/1/1923,20.75
7/1/1923,20.75
8/1/1923,20.75
9/1/1923,20.75
10/1/1923,20.75
11/1/1923,20.75
12/1/1923,20.75
1/1/1924,20.78
2/1/1924,20.78
3/1/1924,20.78
4/1/1924,20.78
5/1/1924,20.78
6/1/1924,20.78
7/1/1924,20.78
8/1/1924,20.78
9/1/1924,20.78
10/1/1924,20.78
11/1/1924,20.78
12/1/1924,20.78
1/1/1925,20.75
2/1/1925,20.75
3/1/1925,20.75
4/1/1925,20.75
5/1/1925,20.75
6/1/1925,20.75
7/1/1925,20.75
8/1/1925,20.75
9/1/1925,20.75
10/1/1925,20.75
11/1/1925,20.75
12/1/1925,20.75
1/1/1926,20.72
2/1/1926,20.72
3/1/1926,20.72
4/1/1926,20.72
5/1/1926,20.72
6/1/1926,20.72
7/1/1926,20.72
8/1/1926,20.72
9/1/1926,20.72
10/1/1926,20.72
11/1/1926,20.72
12/1/1926,20.72
1/1/1927,20.75
2/1/1927,20.75
3/1/1927,20.75
4/1/1927,20.75
5/1/1927,20.75
6/1/1927,20.75
