Date,Composite,Nominal Dividends,Nominal Earnings,CPI,Total Return,Real Earnings,Real Composite,Real Dividends,Real Total Return
1871-01-01,4.44,0.26,0.4,12.46406116,4.44,10.13037391,112.4471504,6.584743042,112.4471504
1871-02-01,4.5,0.26,0.4,12.84464132,4.521666667,9.830216108,110.5899312,6.38964047,111.1224012
1871-03-01,4.61,0.26,0.4,13.0349719,4.653967284,9.686679877,111.6389856,6.29634192,112.7037281
1871-04-01,4.74,0.26,0.4,12.55922645,4.807080452,10.05361282,119.1353119,6.534848331,120.8213141
1871-05-01,4.86,0.26,0.4,12.27381157,4.950751985,10.28739925,124.9919009,6.686809516,127.3259057
1871-06-01,4.82,0.26,0.4,12.08348099,4.932076308,10.44943921,125.9157424,6.792135484,128.8435789
1871-07-01,4.73,0.26,0.4,12.08348099,4.862154065,10.44943921,123.5646186,6.792135484,127.0169583
1871-08-01,4.79,0.26,0.4,11.8932314,4.946102461,10.61659323,127.133704,6.900785601,131.2768948
1871-09-01,4.84,0.26,0.4,12.17864628,5.02010469,10.36778613,125.4502122,6.739060985,130.1184295
1871-10-01,4.59,0.26,0.4,12.36889587,4.783274682,10.20831619,117.1404283,6.635405525,122.072951
1871-11-01,4.64,0.26,0.4,12.36889587,4.857959073,10.20831619,118.4164678,6.635405525,123.9789557
1871-12-01,4.74,0.26,0.4,12.65439174,4.985340902,9.97800626,118.2393742,6.485704069,124.3594068
1872-01-01,4.86,0.2633,0.4025,12.65439174,5.134629424,10.0403688,121.2327761,6.568022621,128.0834113
1872-02-01,4.88,0.2667,0.405,12.65439174,5.179240479,10.10273134,121.7316764,6.652835674,129.1962348
1872-03-01,5.04,0.27,0.4075,12.84464132,5.372931337,10.01453266,123.860723,6.635395873,132.0426904
1872-04-01,5.18,0.2733,0.41,13.13013719,5.546458897,9.856884062,124.5333157,6.570454669,133.3434202
1872-05-01,5.18,0.2767,0.4125,13.13013719,5.571148491,9.916987014,124.5333157,6.652194683,133.9369872
1872-06-01,5.13,0.28,0.415,13.0349719,5.54246819,10.04993037,124.2316694,6.780675914,134.2202877
1872-07-01,5.1,0.2833,0.4175,12.84464132,5.535562613,10.26028806,125.3352554,6.962250558,136.0394419
1872-08-01,5.04,0.2867,0.42,12.93980661,5.496370468,10.24581619,122.9497942,6.993989287,134.0828607
1872-09-01,4.95,0.29,0.4225,13.0349719,5.424575946,10.23155562,119.8726635,7.022842911,131.3653266
1872-10-01,4.97,0.2933,0.425,12.74947603,5.47327841,10.52256577,123.052122,7.261808327,135.5127812
1872-11-01,4.95,0.2967,0.4275,13.13013719,5.478481879,10.27760472,119.0038442,7.133018296,131.7091725
1872-12-01,5.07,0.3,0.43,12.93980661,5.638962661,10.48976419,123.6816382,7.318440132,137.5613688
1873-01-01,5.11,0.3025,0.4325,12.93980661,5.711488767,10.55075119,124.6574303,7.379427133,139.3306287
1873-02-01,5.15,0.305,0.435,13.22522149,5.78460551,10.38272517,122.9219186,7.279841784,138.0688947
1873-03-01,5.11,0.3075,0.4375,13.22522149,5.76845916,10.442396,121.9671853,7.339512618,137.6835083
1873-04-01,5.04,0.31,0.44,13.22522149,5.71860131,10.50206684,120.2964019,7.399183452,136.4934845
1873-05-01,5.05,0.3125,0.4425,12.93980661,5.759495739,10.7946992,123.1937422,7.623375138,140.5017492
1873-06-01,4.98,0.315,0.445,12.55922645,5.709599117,11.18464426,125.1674796,7.917220093,143.5052472
1873-07-01,4.97,0.3175,0.4475,12.55922645,5.728468693,11.24747934,124.9161392,7.980055173,143.9795157
1873-08-01,4.97,0.32,0.45,12.55922645,5.759204943,11.31031442,124.9161392,8.042890253,144.7520416
1873-09-01,4.59,0.3225,0.4525,12.55922645,5.3500059,11.3731495,115.3652071,8.105725333,134.4672197
1873-10-01,4.19,0.325,0.455,12.27381157,4.915342203,11.70191665,107.7605072,8.358511895,126.4152193
1873-11-01,4.04,0.3275,0.4575,11.8932314,4.7713915,12.14272851,107.2275917,8.69233571,126.6398068
